Datetime,Price_EUR_MWh,CO2_Intensity_g_kWh,Consommation,Solar_Power_1kW,Wind_Power_1kW
2022-01-01 00:00:00,89.06,53.02981219876216,7737.5,0.0,0.0
2022-01-01 01:00:00,78.48,57.258755529109784,7327.5,0.0,0.0
2022-01-01 02:00:00,85.16,60.010736641855445,6991.0,0.0,0.0
2022-01-01 03:00:00,50.0,63.31244613530916,6668.0,0.0,0.0
2022-01-01 04:00:00,37.67,65.86192822641652,6411.0,0.0,0.0
2022-01-01 05:00:00,39.7,66.08871815584287,6321.5,0.0,0.0
2022-01-01 06:00:00,40.59,65.81662213182233,6384.0,0.0,0.0
2022-01-01 07:00:00,43.26,64.38025492172756,6496.0,0.0,0.0
2022-01-01 08:00:00,49.66,62.297855732094106,6656.0,106.75891757834329,0.0
2022-01-01 09:00:00,70.05,60.527644613824535,6831.5,330.6044355184426,8.40292104914218
2022-01-01 10:00:00,76.79,58.53576864354237,7093.0,477.52963678693567,14.669393917497189
2022-01-01 11:00:00,84.1,56.573873427513476,7337.0,6.974941411272462,19.684328904941623
2022-01-01 12:00:00,94.74,54.66343157295246,7617.5,549.5949362213539,19.847349741441747
2022-01-01 13:00:00,96.8,54.029618420016476,7649.0,1.91423284934936,8.648753979009287
2022-01-01 14:00:00,97.17,54.709473704064486,7443.5,1.834214198744622,0.0
2022-01-01 15:00:00,98.52,55.65102192002513,7209.5,3.531493105625786,0.0
2022-01-01 16:00:00,114.5,56.717089225480734,7117.0,0.0,0.0
2022-01-01 17:00:00,149.97,54.41203648102337,7441.5,0.0,0.0
2022-01-01 18:00:00,146.33,51.08762617209207,7962.5,0.0,0.0
2022-01-01 19:00:00,140.28,49.995246164649814,8322.5,0.0,0.0
2022-01-01 20:00:00,121.88,50.686877010993875,8318.0,0.0,0.0
2022-01-01 21:00:00,102.61,52.65267168015694,8006.5,0.0,0.0
2022-01-01 22:00:00,97.46,54.25473787754641,7805.5,0.0,0.0
2022-01-01 23:00:00,85.16,53.553437112374226,8164.0,0.0,0.0
2022-01-02 00:00:00,57.08,55.691606425897035,7797.5,0.0,0.0
2022-01-02 01:00:00,52.59,59.21347228558771,7220.0,0.0,0.0
2022-01-02 02:00:00,48.97,61.738585663375886,6808.0,0.0,0.0
2022-01-02 03:00:00,34.94,64.62491837157629,6453.5,0.0,0.0
2022-01-02 04:00:00,29.56,65.92743891055636,6279.0,0.0,0.0
2022-01-02 05:00:00,33.97,65.47211654474725,6277.0,0.0,0.0
2022-01-02 06:00:00,34.52,63.667333343336125,6449.0,0.0,0.0
2022-01-02 07:00:00,41.8,62.593311428171496,6582.5,0.0,0.0
2022-01-02 08:00:00,48.95,59.482922360253994,6862.5,1.7963075732357832,0.0
2022-01-02 09:00:00,60.01,56.86883461285345,7185.5,5.388686985778019,14.367959304554743
2022-01-02 10:00:00,70.09,54.46209480374054,7591.0,2.6271489594077173,27.31567370439969
2022-01-02 11:00:00,66.26,52.34221542982098,7934.0,6.9062996223583655,38.69386212075643
2022-01-02 12:00:00,64.54,49.539624489159905,8352.5,22.29843574972641,44.64564242537981
2022-01-02 13:00:00,46.96,49.15983501390073,8454.0,21.471630658324163,49.68848364720386
2022-01-02 14:00:00,40.01,50.43874242837545,8139.5,-0.0,44.56002203988968
2022-01-02 15:00:00,39.3,51.407614437540786,7906.0,-0.0,39.065586647096026
2022-01-02 16:00:00,40.79,50.903741618337435,7824.5,0.0,65.57038913194472
2022-01-02 17:00:00,47.91,48.828623444201284,8151.5,0.0,101.83904263322532
2022-01-02 18:00:00,65.09,46.59159024682437,8664.5,0.0,132.23649027858596
2022-01-02 19:00:00,67.85,45.11195679823281,9040.5,0.0,142.88594134213935
2022-01-02 20:00:00,62.22,46.124614881741685,8871.5,0.0,133.02407275993528
2022-01-02 21:00:00,46.16,48.57624559112571,8445.5,0.0,144.2328275537637
2022-01-02 22:00:00,46.29,50.8614295427917,8042.0,0.0,133.0268063302472
2022-01-02 23:00:00,32.93,50.38075311290218,8345.5,0.0,133.5125565090518
2022-01-03 00:00:00,2.71,52.55448589557043,7933.0,0.0,133.1922439962254
2022-01-03 01:00:00,1.71,55.93380347119857,7270.5,0.0,143.49022177607372
2022-01-03 02:00:00,1.24,58.042488511528404,6860.0,0.0,168.1692654569235
2022-01-03 03:00:00,0.06,59.62251738788989,6592.0,0.0,196.3376042041738
2022-01-03 04:00:00,0.09,60.46541821662976,6494.0,0.0,213.7127627151337
2022-01-03 05:00:00,1.44,57.76950588847979,6625.5,0.0,248.13174226844063
2022-01-03 06:00:00,41.11,54.4560821227159,7327.5,0.0,322.5372315824725
2022-01-03 07:00:00,90.54,51.04580105486363,8387.5,0.0,321.4670264196497
2022-01-03 08:00:00,161.79,48.442703595859385,9336.0,7.964398432537741,283.62903570922
2022-01-03 09:00:00,180.36,48.40532693802434,9751.5,10.846909299308887,264.4218879763283
2022-01-03 10:00:00,125.03,48.192254578928214,9869.0,512.7421062973593,317.7063024478771
2022-01-03 11:00:00,100.74,46.98792810969468,9967.5,20.26841555159717,424.31701493232725
2022-01-03 12:00:00,96.39,46.414480400715114,10249.0,3.130057707774149,445.9994082538631
2022-01-03 13:00:00,95.22,45.91299139727502,10163.0,48.66480927895723,336.9939848823753
2022-01-03 14:00:00,102.67,46.97010590181122,9871.5,0.3478719410489953,201.2908801659584
2022-01-03 15:00:00,112.87,48.61498245347932,9622.5,-0.0,134.25748464740997
2022-01-03 16:00:00,126.8,50.17113571790645,9568.5,0.0,109.11889103775194
2022-01-03 17:00:00,148.49,50.56782767677729,9888.5,0.0,105.96360342694804
2022-01-03 18:00:00,175.06,49.40086391691009,10391.0,0.0,94.14811896154164
2022-01-03 19:00:00,180.0,48.88229525390486,10681.0,0.0,76.1838526398312
2022-01-03 20:00:00,146.43,49.097895110914024,10247.5,0.0,33.93413023815854
2022-01-03 21:00:00,105.71,49.38672156696717,9222.0,0.0,15.075300913658625
2022-01-03 22:00:00,114.11,51.637076445992236,8537.0,0.0,1.56854659955595
